EVENTS,ShadowCacheUsageMB,DynamicTranslucencyResolution,DynamicNaniteScalingShadow,DynamicNaniteScalingPrimary,ShadowCacheUsageMB,ShadowCacheUsageMB,DrawSceneCommand_StartDelay,GPUSceneInstanceCount,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,TransientResourceCreateCount,TransientMemoryUsedMB,TransientMemoryAliasedMB,RHI/DrawCalls,RHI/PrimitivesDrawn,RenderThreadTime,GameThreadTime,GPUTime,RenderThreadTime_CriticalPath,RHIThreadTime,MemoryFreeMB,MaxFrameTime,FrameTime,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,CPUUsage_Process,CPUUsage_Idle,ShadowCacheUsageMB,ShadowCacheUsageMB,ShadowCacheUsageMB
,0,-100,-100,-100,0,0,6.3710,4879371,598.4805,569.7930,55,0,512,128,2897,2043066,10.8969,15.2756,14.7692,19.7537,13.1824,7314.3516,33.3333,16.7952,4331.7969,8313.6484,0,11646.1484,0.2176,0.1081,0,0,0
,0,-100,-100,-100,0,0,9.1568,4879371,598.4805,569.7930,55,0,512,128,2900,2043156,10.8824,13.3602,13.9704,20.6807,13.6546,7310.5000,33.3333,20.7293,4331.4766,8313.3047,0,11641.9766,0.2171,0.1054,0,0,0
,0,-100,-100,-100,0,0,8.6887,4879371,598.4805,569.7930,55,0,512,128,2889,2043152,10.8361,12.5647,13.4304,19.2341,12.9249,7313.4336,33.3333,19.2742,4331.0352,8312.8516,0,11644.4688,0.2284,0.092774,0,0,0
,0,-100,-100,-100,0,0,10.0594,4879371,598.4805,569.7930,55,0,512,128,2899,2043130,10.2188,11.9815,14.1555,20.2617,14.8534,7314.7812,33.3333,20.2170,4331.2344,8313.0508,0,11646.0156,0.2249,0.1062,0,0,0
,0,-100,-100,-100,0,0,8.8415,4879371,598.4805,569.7930,55,0,512,128,2912,1817146,10.1867,12.4922,14.6411,19.3603,13.8438,7311.9883,33.3333,19.3433,4329.9492,8311.8555,0,11641.9375,0.2024,0.097037,0,0,0
,0,-100,-100,-100,0,0,7.1518,4879371,598.4805,598.3555,55,0,512,128,2889,1817120,11.1721,11.8666,13.7727,17.2618,14.0018,7313.6133,33.3333,17.2903,4330.0742,8311.9766,0,11643.6875,0.2421,0.054056,0,0,0
,0,-100,-100,-100,0,0,12.1506,4879371,598.4805,569.7930,55,0,512,128,2899,1817124,10.8724,13.1231,14.0807,23.2811,13.4068,7316.7188,33.3333,23.2969,4329.2656,8311.1445,0,11645.9844,0.1946,0.090531,0,0,0
,0,-100,-100,-100,0,0,10.1544,4879371,598.4805,569.7930,55,0,512,128,2900,1817158,10.6125,13.3018,14.2429,21.7352,14.6118,7312.9766,33.3333,21.8318,4328.9844,8310.8398,0,11641.9609,0.2050,0.077829,0,0,0
,0,-100,-100,-100,0,0,10.3143,4879371,598.4805,598.3555,55,0,512,128,2889,1817144,10.3352,12.8547,13.9389,20.5702,14.9826,7314.7734,33.3333,20.5112,4328.4922,8310.3281,0,11643.2656,0.2088,0.1036,0,0,0
,0,-100,-100,-100,0,0,7.8628,4879371,598.4805,598.3555,55,0,512,128,2899,1817154,10.4220,12.4883,13.8095,18.5054,12.9169,7317.0547,33.3333,18.4837,4330.5195,8312.3359,0,11647.5742,0.2184,0.095411,0,0,0
